RANK,Country,Happiness score ,Whisker-high ,Whisker-low,Dystopia (1.83) + residual ,Explained by: GDP per capita ,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
1,Finland,7.82,7.89,7.76,2.52,1.89,1,0.775,0.736,0.109,0.534
2,Denmark,7.64,7.71,7.56,2.23,1.95,1,0.777,0.719,0.188,0.532
3,Iceland,7.56,7.65,7.46,2.32,1.94,1,0.803,0.718,0.27,0.191
4,Switzerland,7.51,7.59,7.44,2.15,2.03,1,0.822,0.677,0.147,0.461
5,Netherlands,7.42,7.47,7.36,2.14,1.95,1,0.787,0.651,0.271,0.419
6,Luxembourg,7.4,7.5,7.31,2.04,2.21,1,0.79,0.7,0.12,0.388
7,Sweden,7.38,7.45,7.32,2,1.92,1,0.803,0.724,0.218,0.512
8,Norway,7.37,7.44,7.29,1.93,2,1,0.786,0.728,0.217,0.474
9,Israel,7.36,7.43,7.3,2.63,1.83,1,0.818,0.568,0.155,0.143
10,New Zealand,7.2,7.28,7.12,1.95,1.85,1,0.752,0.68,0.245,0.483
11,Austria,7.16,7.24,7.09,2.15,1.93,1,0.774,0.623,0.193,0.329
12,Australia,7.16,7.24,7.08,2.01,1.9,1,0.772,0.676,0.258,0.341
13,Ireland,7.04,7.12,6.96,1.74,2.13,1,0.779,0.627,0.19,0.408
14,Germany,7.03,7.12,6.95,2.14,1.92,1,0.776,0.585,0.163,0.358
15,Canada,7.03,7.11,6.94,1.92,1.89,1,0.783,0.659,0.217,0.368
16,United States,6.98,7.07,6.89,2.21,1.98,1,0.628,0.574,0.22,0.177
17,United Kingdom,6.94,7.02,6.87,1.97,1.87,1,0.75,0.597,0.289,0.329
18,Czech Republic,6.92,7.03,6.81,2.26,1.82,1,0.715,0.66,0.158,0.048
19,Belgium,6.81,6.89,6.72,2.28,1.91,1,0.764,0.492,0.049,0.204
20,France,6.69,6.76,6.62,1.9,1.86,1,0.808,0.567,0.07,0.266
21,Bahrain,6.65,6.78,6.51,2.09,1.85,1,0.625,0.693,0.199,0.155
22,Slovenia,6.63,6.72,6.54,1.89,1.81,1,0.769,0.685,0.118,0.115
23,Costa Rica,6.58,6.68,6.48,2.35,1.58,1,0.744,0.661,0.089,0.102
24,United Arab Emirates,6.58,6.66,6.49,1.81,2,0.98,0.633,0.702,0.204,0.25
25,Saudi Arabia,6.52,6.64,6.41,2.08,1.87,1,0.577,0.651,0.078,0.18
26,Taiwan,6.51,6.6,6.43,2,1.9,1,0.733,0.542,0.075,0.168
27,Singapore,6.48,6.57,6.39,0.92,2.15,1,0.851,0.672,0.163,0.587
28,Romania,6.48,6.58,6.38,2.45,1.72,1,0.655,0.605,0.039,0.006
29,Spain,6.48,6.56,6.39,1.89,1.81,1,0.808,0.505,0.101,0.149
30,Uruguay,6.47,6.56,6.39,1.97,1.62,1,0.672,0.665,0.103,0.265
31,Italy,6.47,6.57,6.36,2.22,1.83,1,0.801,0.412,0.085,0.059
32,Kosovo,6.46,6.57,6.34,2.63,1.36,0.949,0.569,0.599,0.309,0.035
33,Malta,6.45,6.54,6.36,1.63,1.84,1,0.789,0.679,0.174,0.166
34,Lithuania,6.45,6.54,6.36,2.15,1.8,1,0.659,0.496,0.053,0.077
35,Slovakia,6.39,6.48,6.31,2.09,1.74,1,0.707,0.479,0.118,0.025
36,Estonia,6.34,6.42,6.27,1.44,1.79,1,0.728,0.689,0.123,0.333
37,Panama,6.31,6.46,6.15,2.09,1.72,1,0.709,0.592,0.049,0.051
38,Brazil,6.29,6.38,6.2,2.36,1.46,1,0.615,0.546,0.131,0.134
39,Guatemala,6.26,6.46,6.06,2.75,1.27,0.831,0.522,0.662,0.112,0.115
40,Kazakhstan,6.23,6.33,6.14,1.86,1.67,1,0.611,0.584,0.134,0.157
41,Cyprus,6.22,6.32,6.12,2.04,1.82,0.909,0.819,0.448,0.123,0.062
42,Latvia,6.18,6.26,6.11,1.92,1.73,1,0.637,0.502,0.075,0.09
43,Serbia,6.18,6.29,6.06,2.03,1.55,1,0.658,0.546,0.219,0.088
44,Chile,6.17,6.26,6.08,2.04,1.65,1,0.748,0.46,0.124,0.069
45,Nicaragua,6.17,6.31,6.02,2.42,1.11,1,0.617,0.617,0.168,0.212
46,Mexico,6.13,6.24,6.02,2.24,1.55,0.886,0.623,0.621,0.092,0.115
47,Croatia,6.13,6.23,6.02,1.88,1.71,1,0.709,0.535,0.109,0
48,Poland,6.12,6.21,6.04,1.69,1.76,1,0.712,0.523,0.124,0.14
49,El Salvador,6.12,6.25,5.99,2.51,1.27,0.768,0.607,0.666,0.089,0.212
50,Kuwait,6.11,6.24,5.98,1.62,1.9,0.983,0.747,0.617,0.087,0.147
51,Hungary,6.09,6.19,5.99,1.81,1.75,1,0.668,0.485,0.078,0.064
52,Mauritius,6.07,6.18,5.96,1.97,1.59,1,0.568,0.589,0.131,0.107
53,Uzbekistan,6.06,6.18,5.95,1.91,1.22,1,0.6,0.716,0.283,0.24
54,Japan,6.04,6.12,5.96,1.49,1.84,1,0.866,0.537,0.007,0.218
55,Honduras,6.02,6.19,5.86,2.61,1.11,0.885,0.555,0.582,0.202,0.076
56,Portugal,6.02,6.12,5.91,1.69,1.76,1,0.777,0.655,0.016,0.039
57,Argentina,5.97,6.09,5.84,1.89,1.59,1,0.662,0.555,0.081,0.085
58,Greece,5.95,6.04,5.85,2.12,1.7,0.98,0.774,0.249,0.015,0.108
59,South Korea,5.94,6.02,5.85,1.66,1.85,0.886,0.841,0.414,0.111,0.176
60,Philippines,5.9,6.01,5.8,2.28,1.27,0.912,0.514,0.678,0.107,0.142
61,Thailand,5.89,5.99,5.79,1.6,1.54,1,0.697,0.617,0.321,0.026
62,Moldova,5.86,5.95,5.77,2.14,1.42,1,0.597,0.561,0.102,0.028
63,Jamaica,5.85,6.02,5.68,2.16,1.3,1,0.646,0.567,0.08,0.053
64,Kyrgyzstan,5.83,5.92,5.74,2.09,1.07,1,0.638,0.693,0.208,0.025
65,Belarus,5.82,5.95,5.69,1.81,1.56,1,0.629,0.342,0.04,0.282
66,Colombia,5.78,5.9,5.66,1.97,1.45,0.929,0.72,0.545,0.087,0.077
67,Bosnia and Herzegovina,5.77,5.88,5.66,1.87,1.47,1,0.665,0.448,0.244,0.006
68,Mongolia,5.76,5.85,5.68,2,1.39,1,0.467,0.398,0.247,0.059
69,Dominican Republic,5.74,5.87,5.6,1.75,1.54,1,0.577,0.606,0.084,0.179
70,Malaysia,5.71,5.85,5.58,1.47,1.69,0.938,0.62,0.654,0.213,0.126
71,Bolivia,5.6,5.71,5.49,2.11,1.26,0.88,0.555,0.627,0.112,0.064
72,China,5.59,5.65,5.52,1.52,1.51,0.958,0.705,0.656,0.099,0.142
73,Paraguay,5.58,5.69,5.47,1.56,1.41,1,0.624,0.629,0.171,0.059
74,Peru,5.56,5.68,5.44,1.89,1.4,0.865,0.735,0.545,0.09,0.037
75,Montenegro,5.55,5.68,5.41,1.62,1.57,1,0.659,0.46,0.135,0.077
76,Ecuador,5.53,5.65,5.41,1.87,1.35,0.879,0.708,0.565,0.08,0.083
77,Vietnam,5.49,5.57,5.4,1.74,1.25,0.932,0.611,0.707,0.143,0.105
78,Turkmenistan,5.47,5.58,5.37,1.16,1.48,1,0.516,0.649,0.314,0.032
79,Northern Cyprus,5.47,5.61,5.33,1.08,1.82,0.888,0.819,0.523,0.13,0.213
